feature,importance
checking_status_A14,0.06679365079365092
credit_amount,0.03551322751322754
duration_months,0.02810582010582017
credit_history_A34,0.027724867724867774
purpose_A41,0.013671957671957658
property_type_A124,0.013544973544973615
checking_status_A11,0.012486772486772523
other_debtors_A103,0.009862433862433928
installment_rate,0.008423280423280466
purpose_A40,0.007365079365079463
property_type_A122,0.0065608465608465675
present_residence_since,0.006137566137566197
existing_credits,0.005841269841269892
employment_since_A75,0.00550264550264552
credit_history_A31,0.004825396825396844
