feature,importance
credit_amount,0.04550264550264547
credit_history_A34,0.0364444444444445
checking_status_A14,0.03170370370370368
checking_status_A11,0.029671957671957738
duration_months,0.026412698412698422
purpose_A41,0.022052910052910057
num_liable_people,0.018497354497354568
present_residence_since,0.017439153439153476
existing_credits,0.015068783068783098
other_debtors_A103,0.011851851851851869
foreign_worker_A202,0.011174603174603216
employment_since_A74,0.008550264550264575
property_type_A124,0.007746031746031767
savings_status_A61,0.007703703703703701
credit_history_A31,0.0069841269841269815
