feature,importance
credit_amount,0.0910556654433677
checking_status_A14,0.08170856579614866
duration_months,0.07398984251912048
age_years,0.07028957627457365
checking_status_A11,0.037836634629548574
credit_history_A34,0.03598861590249958
installment_rate,0.03386398857115303
present_residence_since,0.02686791507755164
savings_status_A61,0.025891508333466227
checking_status_A12,0.02256527591883828
other_installment_plans_A143,0.018868024587069786
employment_since_A72,0.018864606709680893
housing_A152,0.01633325523718202
personal_status_sex_A93,0.01611369796996232
job_A173,0.015944536233481237
