feature,importance
int_rate,0.08516512059369197
dti,0.048341372912801425
annual_inc,0.019836734693877544
revol_util,0.010248608534322834
term_36 months,0.009569573283859012
addr_state_MN,0.008604823747680835
loan_amnt,0.005243042671614018
longest_credit_length,0.004604823747680875
addr_state_HI,0.003792207792207769
purpose_other,0.0029276437847866265
purpose_debt_consolidation,0.002348794063079751
verification_status_not verified,0.0017476808905379615
addr_state_NV,0.0011948051948051709
total_acc,0.0011391465677179635
verification_status_verified,0.0010204081632652518
